,Album,Song,Link,lyrics
10,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Only You,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/only-you.html,"[Verse 1]
Looking from a window above
It’s like a story of love
Can you hear me?
Came back only yesterday
I’m moving farther away
Want you near me
[Chorus]
All I needed was the love you gave
All I needed for another day
And all I ever knew
Only you
[Verse 2]
Sometimes when I think of her name
When it’s only a game
And I need you
Listen to the words that you say
It’s getting harder to stay
When I see you
[Chorus]
All I needed was the love you gave



All I needed for another day
And all I ever knew
Only you
All I needed was the love you gave
All I needed for another day
And all I ever knew
Only you
[Bridge]
This is going to take a long time
And I wonder what’s mine
Can’t take no more (can’t take no more)
Wonder if you’ll understand
It’s just the touch of your hand
Behind a closed door
[Chorus]
All I needed was the love you gave
All I needed for another day
And all I ever knew
Only you"
11,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),The k**ing Moon,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/the-k**ing-moon.html,"Under blue moon I saw you
So soon you'll take me
Up in your arms too late to beg you
Or cancel it though I know it must be
The k**ing time
Unwillingly mine
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him
In starlit nights I saw you
So cruelly you kissed me
Your lips a magic world
Your sky all hung with j**els
The k**ing moon
Will come too soon
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him
Under blue moon I saw you
So soon you'll take me



Up in your arms, too late to beg you
Or cancel it though I know it must be
The k**ing time
Unwillingly mine
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him
Fate
Up against your will
Through the thick and thin
He will wait until
You give yourself to him"
12,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),The Night We Met,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/the-night-we-met.html,"I am not the only traveler
Who has not repaid his debt
I've been searching for a trail to follow again
Take me back to the night we met
And then I can tell myself
What the hell I'm supposed to do
And then I can tell myself
Not to ride along with you
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you



Take me back to the night we met
When the night was full of terrors
And your eyes were filled with tears
When you had not touched me yet
Oh, take me back to the night we met
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met"
13,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),The Stand,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/the-stand.html,"Oh I have been out searching with the black book in my hand
And I've looked between the lines that lie on the pages that I tread
I met the walking dude, religious, in his wom down cowboy boots
He walked liked no man on earth
I swear he had no name (had no name)
I swear he had no name
Come on down and meet your maker
Come on down and make the stand
Come on down, come on down
Come on down and make the stand
As I crawled beneath the searchlights
Looking through the floorboards of this life
I met Doctor Strangelove's cousin
He bore the marks of time
""Hey! Trashcan where you going boy
Your eyes are feet apart
Is that the end you're carrying
Shall I play the funeral march"" (play the march)
""Play the funeral march""
Come on down and meet your maker



Come on down and make the stand
Come on down, come on down
Come on down and we'll make the stand
Come on down and meet your maker
Come on down and make the stand
Come on down, come on down
Come on down, we'll make the stand
When I looked out the window
On the hardship that had struck I saw the seven phials open
The plague claimed man and son
Four men at a grave in silence With hats bowed down in grace
A simple wooden cross
It had no epitaph engraved (it had no)
It had no epitaph engraved
Come on down and meet your maker
Come on down and make the stand
Come on down, come on down
Come on and make the stand
Come on down and meet your maker
Come on down and make the stand
Come on down, come on down
Come on down, and we'll make the stand"
14,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),The Walls Came Down,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/the-walls-came-down.html,"Well
Well they blew the horns
And the walls came down
They'd all been warned
And the walls came down
They stood there laughing
They're not laughing anymore
The walls came down
Sanctuary fades, congregation splits
Nightly military raids, the congregation splits
It's a song of a**a**ins, ringin' in your ears
We got terrorists thinking, playing on fears
Oh
Well they blew the horns



And the walls came down
They'd all been warned
But the walls came down
I don't think there are any Russians
And there ain't no Yanks
Just corporate criminals
Playin' with tanks
Die, die, die, die
Yes, come on
Die, die
Come on, come on, come on
Die, die, wake up
Wake up
Die, die
Go, yeah
Die, die, die, die, die, die
Come on, come on, come on, come on
Die, die"
15,SG2 (2017),Bad Girlfriend *,https://lyrics.az/selena-gomez/sg2/bad-girlfriend.html,blank
16,SG2 (2017),Bad Guy,https://lyrics.az/selena-gomez/sg2/bad-guy.html,"Spent so long just waiting for you here
To chew me up and spit me up and leave me alone
Took me even longer just to hear
Me, myself and nobody else, well I'll be gone
Now the tables turn
You're missing me
You taught me how to hurt
He's kissing me
Beware, the bridge you burnt
Will running back to me, yeah
I can be the one to keep you up at night
Tell me how it feels from the other side
I'll be on my own doin' what I like
God, it feels so good to be the bad guy
Be the bad guy
[Instrumental Break]
Be the bad guy
Be the bad guy
You were always standing in the way
Trip me up to keep me down and leave me alone



There're no excuse left to make
Me, myself and nobody else, I'm on my own
Now the tables turn
You're missing me
You taught me how to hurt
He's kissing me
Beware, the bridge you burnt
Will running back to me, yeah
I can be the one to keep you up at night
Tell me how it feels from the other side
I'll be on my own doin' what I like
God, it feels so good to be the bad guy
Be the bad guy
[Instrumental Break]
Be the bad guy
Be the bad guy
I'll be on my own doin' what I like
I'll be on my own doin' what I like
I'll be on my own doin' what I like
God, it feels so good to be the bad guy
Be the bad guy"
17,SG2 (2017),Bad News,https://lyrics.az/selena-gomez/sg2/bad-news.html,"You've been nothing but bad news
Flesh fade in your tattoos
Low life in this high too
You give me love with an attitude
I throw the drink and the gla** through
I see your ex and some brand new
I pack my bags and I'm leaving you
'Cause you've been nothing but bad news, bad news
Nothing, a thing but bad news
Nothing, a thing but bad news
Nothing, a thing but bad news
No one to blame, you're bad news
It's such a shame, you're bad news
I had it good for bad news
You took me under
f** me right over
Do what I had to 



You knew I'd come back to you, baby
You've been nothing but bad news
Flesh fade in your tattoos
Low life in this high too
You give me love with an attitude
I throw the drink and the gla** through
I see your ex and some brand new
I pack my bags and I'm leaving you
'Cause you've been nothing but bad news, bad news
Nothing, a thing but bad news
Nothing, a thing but bad news
Nothing, a thing but bad news
No one to blame, you're bad news
It's such a shame, you're bad news
I had it good for bad news"
18,SG2 (2017),Burn Duplicate*,https://lyrics.az/selena-gomez/sg2/burn-duplicate.html,blank
19,SG2 (2017),Burn*,https://lyrics.az/selena-gomez/sg2/burn.html,blank
20,SG2 (2017),Fetish,https://lyrics.az/selena-gomez/sg2/fetish.html,"[Verse 1: Selena Gomez]
Take it or leave it
Baby take it or leave it
But I know you won't leave it
'Cause I know that you need it
Look in the mirror
When I look in the mirror
Baby I see it clearer
Why you wanna be nearer
[Pre-Chorus: Selena Gomez]
I'm not surprised
I sympathize, ah
I can't deny
Your appetite, ah
[Chorus: Selena Gomez]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blaming you
If I were you, I'd do me too
[Verse 2: Selena Gomez]
Reaching your limit
Say you're reaching your limit
Going over your limit
But I know you can't quit it
Something about me
Got you hooked on my body
Take you over and under and twisted up like origami
[Pre-Chorus: Selena Gomez]
I'm not surprised
I sympathize, ah
I can't deny



Your appetite, ah
[Chorus: Selena Gomez]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blaming you
If I were you, I'd do me too
[Verse 3: Gucci Mane]
The way you walk, the way you talk
I blame you 'cause it's all your fault
Ya playin' hard, don't turn me off
Ya acting hard, but I know you soft
You my fetish, I'm so with it
All these rumors bein' spreaded
Might as well go 'head and whip it
'Cause they sayin' we already did it
Call on Gucci if you ever need and
I'll be South Beach in the drop top gleamin'
Order diamonds, Aquafina
Just need you in a blue bikini
[Chorus: Selena Gomez]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blaming you
If I were you, I'd do me too"
21,SG2 (2017),Kinda Crazy*,https://lyrics.az/selena-gomez/sg2/kinda-crazy.html,blank
22,SG2 (2017),Love Me Tomorrow,https://lyrics.az/selena-gomez/sg2/love-me-tomorrow.html,"She said, ""It's lonely here tonight""
She's always sad when she's alone
She said, ""I need you here tonight""
She couldn't wait 'til I get home
She loves me
And that's all I need to know
She's part of my life
Just a part I won't let go
Then she said
""Love me tomorrow
Won't you please, promise me?
Love me tomorrow like today
Love me tomorrow
Hurry back, can't you see?
I need you more
Than any words could say""
You know it's always cold at night
It's always lonely 'til the dawn
And though it's not what we put on
Knowing she's there, I'll carry on
Because she loves me



And that's all I need to know
She's part of my life
Just a part I won't let go
Then she said
""Love me tomorrow
Won't you please, promise me?
Love me tomorrow like today
Love me tomorrow
Hurry back, can't you see?
I need you more
Than any words could say""
She loves me
And that's all I need to know
She's part of my life
Just a part I won't let go
Then she said
""Love me tomorrow
Won't you please, promise me?
Love me tomorrow like today
Love me tomorrow
Hurry back, can't you see
Need you much more
Than yesterday
Love me tomorrow"
23,SG2 (2017),Love Story*,https://lyrics.az/selena-gomez/sg2/love-story.html,blank
24,SG2 (2017),That's Why I Love You*,https://lyrics.az/selena-gomez/sg2/thats-why-i-love-you.html,blank
25,Revival (2015),Body Heat,https://lyrics.az/selena-gomez/revival/body-heat.html,"[Verse 1]
I'm going in, I'm ready to surrender
Like a diamond, I need a little pressure
So press me down till I scream
If you're the flame, I'm kerosene
I'm burning up, baby
[Chorus]
All I need is your body heat right next to me
Burning up burning up, so give it up give it up
All I need is your body heat right next to me
I'm burning up baby, all I want is your body heat
Burning up burning up, so give it up give it up
All I need is your body heat
[Verse 2]
I'm restless, I'm craving your attention
My red lips have found a new obsession
Let's go all night, just you and me
If you're the flame, I'm kerosene
I'm burning up, baby
[Chorus]
All I need is your body heat right next to me
Burning up burning up, so give it up give it up
All I need is your body heat right next to me



I'm burning up baby, all I want is your body heat
Burning up burning up, so give it up give it up
All I need is your body heat
[Bridge]
I'm burning up, burning up, you're right there
Your body heat right next to me
I'm burning up, burning up, you're right there
Your body heat right next to me
We're connected by the sun
And all of the stars above
You melt me and my body feels no shame
And I don't care tonight
If it burns too bright
Cause baby, that's why I came
[Chorus]
All I need is your body heat right next to me
Burning up burning up, so give it up give it up
All I need is your body heat right next to me
I'm burning up baby, all I want is your body heat
Burning up burning up, so give it up give it up
All I need is your body heat"
26,Revival (2015),Camouflage,https://lyrics.az/selena-gomez/revival/camouflage.html,"[Verse 1]
Dead-end streets and boulevards
You threw in the towel, I broke your heart
But there's a first time for everything
Who would've thought you'd feel so cold
And all these memories seem so old
To think you were my everything
[Pre-Chorus]
Remember when we'd talk all night
But time ain't easy on us, how can love die?
[Chorus]
I got so much sh** to say
But I can't help feeling like I'm camouflage
Fortress around my heart
You were mine just yesterday
Now I have no idea who you are
It's like you camouflage
[Post-Chorus]
But it's good to see you here again
I don't wanna say goodbye
But it's about half past ten
And I have to catch my ride
[Verse 2]
Riding alone on the 405
And life's so fragile, it's like I could cry
If that's the last time I'd see you again
But I'll never tell you just how I felt
You might just not care, and it might just not help



What if the feelings just don't make no sense to you, you
[Pre-Chorus]
Remember when we'd talk all night
But time ain't easy on us, how can love die?
[Chorus]
I got so much sh** to say
But I can't help feeling like I'm camouflage
Fortress around my heart
You were mine just yesterday
Now I have no idea who you are
It's like you camouflage
[Post-Chorus]
But it's good to see you here again
I don't wanna say goodbye
But it's about half past ten
And I have to catch my ride
[Chorus]
I got so much sh** to say
But I can't help feeling like I'm camouflage
Fortress around my heart
You were mine just yesterday
Now I have no idea who you are
It's like you camouflage
[Post-Chorus]
But it's good to see you here again
I don't wanna say goodbye
But it's about half past ten
And I have to catch my ride"
27,Revival (2015),Cologne,https://lyrics.az/selena-gomez/revival/cologne.html,"[Verse 1]
There's a reason you're everywhere
Breathe you in like you're in the air
Maybe you should call off the day
Give your girl some time to play
In my room, from the ceiling to the floor
My body knows that you've been here before
[Chorus]
Every second here without you, I pretend we're skin to skin
Every single breath reminds me that you never, ever left
Every time I think about you, I can feel my hand give in
Cause you're keeping me safe and warm
Even when I'm home alone
Wearing nothing but your cologne
[Verse 2]
Maybe you should call off the day
Give your girl some time to play
Running my mind cause my heart lost all control
Only one thing that can give me that multiple
[Chorus]
Every second here without you, I pretend we're skin to skin
Every single breath reminds me that you never, ever left
Every time I think about you, I can feel my hand give in



Cause you're keeping me safe and warm
Even when I'm home alone
Wearing nothing but your cologne
Wearing nothing but your cologne
Wearing nothing but your cologne, cologne
Wearing nothing but your cologne
[Bridge]
All the way down
Feels like you're around
Forever in the moment
I love it, and you know it
All the way down
Feels like you're around
Forever in the moment
I love it, and you know it
[Chorus]
Every second here without you, I pretend we're skin to skin
Every single breath reminds me that you never, ever left
Every time I think about you, I can feel my hand give in
Cause you're keeping me safe and warm
Even when I'm home alone
Wearing nothing but your cologne
Wearing nothing but your cologne
Wearing nothing but your cologne, cologne
Wearing nothing but your cologne
Wearing nothing but your cologne"
28,Revival (2015),Good For You,https://lyrics.az/selena-gomez/revival/good-for-you.html,"[Verse 1: Selena Gomez]
I'm on my 14 carats
I'm 14 carat
Doing it up like Midas
Now you say I got a touch
So good, so good
Make you never wanna leave
So don't, so don't
[Pre-Chorus: Selena Gomez]
Gonna wear that dress you like, skin-tight
Do my hair up real, real nice
And syncopate my skin to your heart beating
[Chorus: Selena Gomez]
Cause I just wanna look good for you, good for you
I just wanna look good for you, good for you
Let me show you how proud I am to be yours
Leave this dress a mess on the floor
And still look good for you, good for you
[Verse 2: Selena Gomez]
I'm on my marquise diamonds
I'm a marquise diamond
Could even make that Tiffany jealous
You say I give it to you hard
So bad, so bad
Make you never wanna leave
I won't, I won't
[Pre-Chorus: Selena Gomez]
Gonna wear that dress you like, skin-tight
Do my hair up real, real nice
And syncopate my skin to how you're breathing
[Chorus: Selena Gomez]
Cause I just wanna look good for you, good for you
I just wanna look good for you, good for you
Let me show you how proud I am to be yours
Leave this dress a mess on the floor
And still look good for you, good for you
[Bridge: Selena Gomez]



Trust me, I can take you there
Trust me, I can take you there
Trust me, I, trust me, I, trust me, I
[Verse 3: A$AP Rocky]
Hold on, take a minute, love
Cause I ain't trying to mess your image up
Like we mess around in triple cuffs
Stumble 'round town, pull your zipper up
Pants sag like I don't give a
I ain't trying to mess your business up
And I ain't trying to get you into stuff
But the way you touchin' on me in the club
Rubbin' on my miniature
John Hanco*k, the signature
Any time I hit it, know she finna fall through
And every time we get up, always end up on the news
Ain't worried bout no press and ain't worried bout the next chick
They love the way you dress and ain't got sh** up on you
Jackpot, hit the jackpot
Just met a bad miss without the a** shots
You look good, girl, you know you did good, don't you?
You look good, girl, bet it feel good, don't it?
[Chorus: Selena Gomez]
Cause I just wanna look good for you, good for you
Baby, let me be good to you, good to you
Let me show you how proud I am to be yours
Leave this dress a mess on the floor
And still look good for you, good for you
[Outro: Selena Gomez]
Trust me, I, trust me, I, trust me, I"
29,Revival (2015),Hands To Myself,https://lyrics.az/selena-gomez/revival/hands-to-myself.html,"[Verse 1]
Can't keep my hands to myself
No matter how hard I'm trying to
I want you all to myself
You're metaphorical gin and juice
So come on, give me a taste
Of what it's like to be next to you
Won't let one drop go to waste
You're metaphorical gin and juice
[Pre-Chorus]
Cause all of the doubts and the outbursts
Keep making love to each other
And I'm trying, trying, I'm trying, trying
All of the doubts and the outbursts
Keep making love to each other
And I'm trying, trying, I'm trying, but I
[Chorus]
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
My hands to myself
[Verse 2]
My doctor say you're no good
But people say what they wanna say
And you should know if I could
I'd breathe you in every single day
[Pre-Chorus]
All of the doubts and the outbursts



Keep making love to each other
And I'm trying, trying, I'm trying, trying
All of the doubts and the outbursts
Keep making love to each other
And I'm trying, trying, I'm trying, but I
[Chorus]
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
My hands to myself
[Bridge]
Can't keep my hands to myself
I want it all, no, nothing else
Can't keep my hands to myself
Give me your all and nothing else
Oh, I, I want it all
I want it all, I want it all
Can't keep my hands to myself
I mean I could, but why would I want to?
[Chorus]
My hands to myself
Can't keep my hands to myself
My hands to myself
Can't keep my hands to myself
I want it all, no, nothing else
Can't keep my hands to myself
Give me your all and nothing else
Can't keep my hands to myself"
30,Revival (2015),k** Em with Kindness,https://lyrics.az/selena-gomez/revival/k**-em-with-kindness.html,"The world can be a nasty place
You know it, I know it, yeah
We don't have to fall from grace
Put down the weapons you fight with
k** 'em with kindness
k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead, go ahead, go ahead now
We're running out of time
Chasing our lies
Everyday a small piece of you dies
Always somebody
You're willing to fight, to be right
Your lies are bullets
Your mouth's a gun
And no war in anger
Was ever won
Put out the fire before igniting
Next time you're fighting
k** 'em with kindness 



k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead, go ahead, go ahead now
Go ahead, go ahead now
Go ahead, go ahead now
Your lies are bullets
Your mouth's a gun
No war and anger
Was ever won
Put out the fire before igniting
Next time you're fighting
k** 'em with kindness
k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead, go ahead, go ahead now
Go ahead, go ahead now
Go ahead, go ahead now
Go ahead, go ahead now"
31,Revival (2015),Me & My Girls,https://lyrics.az/selena-gomez/revival/me-my-girls.html,"[Verse 1]
Drop down on a desert ride
Just outside the 95
Never felt more, more alive
I got my chicas by my side
[Pre-Chorus]
If we want it, we take it
If we need money, we make it
Nobody knows if we fake it
You like to watch while we shake it
I know we're making you thirsty
You want us all in the worst way
You don't understand
I don't need a man
[Chorus]
Me and my girls, me and my girls
Me and my, me and my, me and my, me and my girls
Me and my girls, me and my girls
No jodas, nosotras
Me and my girls
Me and my girls
[Verse 2]
The night is dark but the moon is bright
We're staring at this summer night
Tan skin looks damn good in white
Stripping down by the Hollywood sign
[Pre-Chorus]
If we want it, we take it
If we need money, we make it
Nobody knows if we fake it
You like to watch while we shake it



I know we're making you thirsty
You want us all in the worst way
You don't understand
I don't need a man
[Chorus]
Me and my girls, me and my girls
Me and my, me and my, me and my, me and my girls
Me and my girls, me and my girls
No jodas, nosotras
Me and my girls
Me and my girls
[Bridge]
I'm going home with who I came with
And who I came with's not you
I'm going home with who I came with
And who I came with's not you
I'm going home with who I came with
And who I came with's not you
I'm going home with who I came with
And who I came with's
Me and my girls, me and my girls
You can look, but don't touch
I'm not here to hook up
I'm just here to turn up
Tonight is just us
[Chorus / Outro]
Me and my girls
Me and my girls
Me and my girls
No jodas, nosotras
Me and my girls"
